* Freq(Hz), SPL(dB)
9122.802734,97.249
9188.910156,97.109
9255.49707,96.948
9322.566406,96.777
9390.121094,96.607
9458.166016,96.452
9526.704102,96.323
9595.738281,96.229
9665.273438,96.174
9735.311523,96.156
9805.857422,96.17
9876.915039,96.207
9948.487305,96.257
10020.57813,96.314
10093.19141,96.372
10166.33106,96.426
10240,96.471
10314.20313,96.502
10388.94434,96.51
10464.22656,96.487
10540.05469,96.418
10616.43262,96.293
10693.36328,96.099
10770.85254,95.828
10848.90234,95.477
10927.51758,95.05
11006.70313,94.56
11086.46191,94.021
11166.79883,93.453
11247.71875,92.874
11329.22363,92.294
11411.32031,91.724
11494.01172,91.171
11577.30176,90.653
11661.19531,90.203
11745.69727,89.882
11830.81152,89.776
11916.54297,89.966
12002.89453,90.475
12089.87305,91.245
12177.48047,92.167
12265.72363,93.129
12354.60645,94.053
12444.13281,94.896
12534.30859,95.639
12625.13672,96.281
12716.62402,96.824
12808.77344,97.273
12901.5918,97.629
12995.08203,97.887
13089.25,98.043
13184.09961,98.09
13279.63672,98.022
13375.86719,97.84
13472.79395,97.551
13570.42285,97.168
13668.75977,96.712
13767.80957,96.206
13867.57715,95.672
13968.06738,95.127
14069.28516,94.575
14171.23731,94.01
14273.92773,93.42
14377.36231,92.797
14481.54688,92.149
14586.48633,91.503
14692.18555,90.907
14798.65137,90.419
14905.88867,90.088
15013.90234,89.936
15122.7002,89.952
15232.28516,90.094
15342.66406,90.311
15453.84375,90.556
15565.8291,90.795
15678.625,91.006
15792.23926,91.175
15906.67578,91.299
16021.94238,91.384
16138.04395,91.452
16254.98633,91.535
16372.77734,91.661
16491.42188,91.832
16610.92383,92.016
16731.29492,92.147
16852.53516,92.153
16974.65625,91.966
17097.66211,91.545
17221.55859,90.878
17346.35352,89.98
17472.05273,88.888
17598.66211,87.657
17726.18945,86.365
17854.64063,85.116
17984.02148,84.048
18114.3418,83.305
18245.60547,82.973
18377.82031,83.021
18510.99414,83.311
18645.13281,83.675
18780.24219,83.964
18916.33203,84.075
19053.4082,83.949
19191.47656,83.585
19330.54688,83.038
19470.62305,82.411
19611.71484,81.825
19753.83008,81.378
19896.97461,81.102
